subject_name,course_name,absolute_course_url
Art & Design Courses,Эксподизайн: проектирование музейной экспозиции в диалогах дизайнера и музеолога,https://www.classcentral.com/course/ekspodizayn-12233
Art & Design Courses,Understanding Fashion: From Business to Culture,https://www.classcentral.com/course/understanding-fashion-from-business-to-culture-14492
Art & Design Courses,So You Think You Know Tango?,https://www.classcentral.com/course/tango-14410
Art & Design Courses,Electronic Music Performance Techniques,https://www.classcentral.com/course/edi-performance-techniques-19486
Art & Design Courses,Singing Popular Music,https://www.classcentral.com/course/singing-popular-music-19623
Art & Design Courses,Guitar Performance Techniques,https://www.classcentral.com/course/guitar-performance-19253
Art & Design Courses,Pop Art,https://www.classcentral.com/course/pop-art-21355
Art & Design Courses,Easing the Transition to GIMP for Photoshop Users,https://www.classcentral.com/course/transition-to-gimp-for-photoshop-users-20208
Art & Design Courses,Be Your Best Creative Self,https://www.classcentral.com/course/be-your-best-creative-self-20277
Art & Design Courses,Richard Schechner's Introduction to Performance Studies,https://www.classcentral.com/course/richard-schechners-introduction-to-performance-st-21161
Art & Design Courses,Технология аэрофотосъемки с использованием БЛА,https://www.classcentral.com/course/bla-20821
Art & Design Courses,Ser más creativos,https://www.classcentral.com/course/creatividad-661
Art & Design Courses,Caligrafía y paleografía: espacios históricos para su estudio y práctica,https://www.classcentral.com/course/edx-caligrafia-y-paleografia-espacios-historicos-para-su-estudio-y-practica-11377
Art & Design Courses,"Drawing Nature, Science and Culture: Natural History Illustration 101",https://www.classcentral.com/course/edx-drawing-nature-science-and-culture-natural-history-illustration-101-7073
Art & Design Courses,剪辑：像编剧一样剪辑,https://www.classcentral.com/course/jian-ji-5565
Art & Design Courses,Aerial Photography with UAV,https://www.classcentral.com/course/aerial-photography-with-uav-21638
Art & Design Courses,Historia del Arte: Del Barroco al Arte Moderno,https://www.classcentral.com/course/historia-del-arte-moderno-21493
Art & Design Courses,Historia del Arte: Del Arte Prehistórico al Renacimiento,https://www.classcentral.com/course/historia-del-arte-inicio-21492
Art & Design Courses,Intimacy of Creativity: Entering the Minds of Composers,https://www.classcentral.com/course/intimacy-creativity-entering-minds-composers-20982
Art & Design Courses,Jazz Improvisation,https://www.classcentral.com/course/improvisation-521
Art & Design Courses,Scandinavian Film and Television,https://www.classcentral.com/course/scanfilmtv-665
Art & Design Courses,Fundamentals of Digital Image and Video Processing,https://www.classcentral.com/course/digital-724
Art & Design Courses,Art & Ideas: Teaching with Themes,https://www.classcentral.com/course/ideas-6996
Art & Design Courses,Healing with the Arts,https://www.classcentral.com/course/healing-with-the-arts-8103
Art & Design Courses,Theatre and Globalization,https://www.classcentral.com/course/globaltheatre-2918
Art & Design Courses,UX / UI: Fundamentos para o design de interface,https://www.classcentral.com/course/ux-ui-design-de-interface-10705
Art & Design Courses,Основы фотографии,https://www.classcentral.com/course/photo-12090
Art & Design Courses,编剧：像导演一样编剧,https://www.classcentral.com/course/bian-ju-5560
Art & Design Courses,The Blues: Understanding and Performing an American Art Form,https://www.classcentral.com/course/the-blues-6026
Art & Design Courses,Music and Social Action,https://www.classcentral.com/course/music-and-social-action-5842
